product_title,product_vendor,product_type,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 155 Natural Rose,L'Oreal CPD,LOreal Paris Makeup,3.60052E+12,7,9394.4,0,0,9394.4,0,9394.4
Maybelline New York- New Fit Me Dewy + Smooth Liquid Foundation SPF 23 - 125 Nude Beige 30ml - For Normal to Dry Skin,L'Oreal CPD,Maybelline New York,6.9024E+12,109,105445.7,-100.12,0,105345.58,0,105345.58
LOreal Paris- Gold Mirage Gloss 02 Pink Quartz,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,1,805,0,0,805,0,805
"NYX Professional Makeup- Conceal, Correct, Contour Palette 02 Medium",L'Oreal CPD,NYX Professional Makeup,8.00898E+11,14,19586,-559.6,0,19026.4,0,19026.4
Maybelline New York- Fit Me Dewy+Smooth Liquid Foundation 112- 30ml,L'Oreal CPD,Maybelline New York,6.9024E+12,142,136581.25,-2701.6,-11050,122829.65,0,122829.65
"L'Oreal Paris- Air Mascara, 0.3 Fl Oz",L'Oreal CPD,L'Oreal Paris Makeup,30179493,41,38696.2,-5163.2,0,33533,0,33533
Maybelline New York- New Fit Me Matte + Poreless Liquid Foundation SPF 22 - 230 Natural Buff 30ml - For Normal to Oily Skin,L'Oreal CPD,Maybelline New York,6.9024E+12,8,7308,0,0,7308,0,7308
"LOreal Paris- Volume Million Lashes Fatale, Black",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,1,1300,0,0,1300,0,1300
Nyx Professional Makeup- Powder Puff Lippie Lip Cream Moody,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,9,10163.15,-151.12,0,10012.03,0,10012.03
Garnier Men Face Wash Oil Clear 100ml,L'Oreal CPD,G-Men,8.964E+12,44,13945.7,-31.87,0,13913.83,0,13913.83
L'Oreal Paris- Infallible Matte Cover Foundation- 300 Amber,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,3,3399,-140,0,3259,0,3259
L'Oreal Paris- Haircare Gala - Dream Long Bundle 2,L'Oreal CPD,LOSC,bd8834,-1,0,0,-999,-999,0,-999
Garnier Color Naturals - 5 Light Brown Hair Color,L'Oreal CPD,Garnier,8.964E+12,1,466.65,0,0,466.65,0,466.65
Maybelline New York- Color Sensational Matte Nudes Lipstick 988 Brown Sugar,L'Oreal CPD,Maybelline New York,3.60053E+12,47,38201.95,0,0,38201.95,0,38201.95
Maybelline New York- Fit Me Matte and Poreless Powder Buff Beige 130 14 Gm,L'Oreal CPD,Maybelline New York,8.9923E+12,-9,0,0,-7459.97,-7459.97,0,-7459.97
Maybelline New York- Super Stay Ink Crayon 80 Run the World,L'Oreal CPD,Maybelline New York,30179134,28,26534.8,-1475.9,0,25058.9,0,25058.9
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless, 220 Natural Beige 18 ml",L'Oreal CPD,Maybelline New York,6.9024E+12,73,32022.75,-323.63,0,31699.12,0,31699.12
Maybelline New York Fit Me Matte and Poreless Powder 110 Fair,L'Oreal CPD,Maybelline New York,8.9923E+12,2,1888,0,0,1888,0,1888
NYX Professional Makeup- Can't Stop Won't Stop Concealer (Soft Beige7.5) 3.5 ml,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,1,799.5,0,0,799.5,0,799.5
L'Oreal Paris- Super Liner LeKhol - 101 Midnight Black,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,30,17318.6,-598.5,0,16720.1,0,16720.1
"L'Oreal Paris Pure Clay Anti-Blemish Marine Algae Face Mask, Blue 50 ml",L'Oreal CPD,L'Oreal Paris Skincare,3.60052E+12,1,979,0,0,979,0,979
L'Oreal Paris Infallible 24H Matte Cover Liquid Foundation - 175 Sand,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,4,4000,0,0,4000,0,4000
LOreal Paris- Color Riche Matte Lipstick 248 Flatter Me Nude,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,2,1979.3,0,0,1979.3,0,1979.3
